,f,chi2,MATTE,NB,M3,HV,zscore,ENT
PIEZO1,26.1054539,0.036746975,1.348426824,,-7.51e-17,0.0,9539.046091102362,-44.4297030664973
GSPT1,29.24475418,0.02772718,0.86896287,,,,831.1447233275613,-51.44325445918925
ZNF174,8.858504528,0.007627615,0.223391986,,-4.71e-05,,-27057.06425400832,-85.84653244366986
CLUAP1,8.48558407,0.004896897,0.071490122,,,,-17558.945539507993,-71.06746773293561
UBFD1,1.533033296,0.002526444,0.030348755,,,0.0,2620.613802048556,-39.45776687827219
EARS2,1.435857687,0.000841945,0.044706383,,,,-6865.242284659345,-38.685916502531775
TCEB2,180.7077167,0.139383301,0.0,,,,-11830.211816417475,-43.46189111137923
GGA2,40.18440472,0.039898263,1.215928082,,,,-2665.103790003054,-54.80299031737861
AQP8,1.184801049,0.000533562,0.0,-2.0200000000000003e-21,,,-12747.36087690813,-52.70586548570809
CPPED1,210.4071185,0.216128433,0.994286533,,,,-510.32469352421094,-37.49116380850611
USP31,4.686335296,0.005744852,0.07242269,-4.67e-05,,0.0,3375.5784269238716,-51.717606185605696
HMOX2,22.40934556,0.015208263,0.503209208,,,,2025.2514866965523,-52.590712527475866
DNAJA3,4.856289041,0.003653815,0.156100657,,,,-955.1103728415793,-52.4693187944074
BFAR,4.785861417,0.003628277,0.843574484,,,,4266.472202754945,-40.486334007533095
RBL2,56.90072108,0.048850891,1.115218828,,,,-12146.856355274227,-55.04661591678385
QPRT,4.059802981,0.002278264,0.068742266,,,,2279.960282539065,-52.47415520082087
XYLT1,9.702554074,0.012396107,0.420096857,-2.84e-19,,0.0,-29404.377820953105,-100.09839687887164
PYCARD,368.6703803,0.253861909,2.769793945,,,,-41987.34581274605,-112.35490210930296
RPGRIP1L,3.740596136,0.002289697,0.060754142,,,,-12379.256862322189,-38.798371698888104
MAZ,8.368590927,0.007637179,0.40255758,,,,2553.7846943490185,-51.39523495425081
STX4,6.844843715,0.006811359,0.310764161,,,,1570.222250447983,-52.78607037099219
CDIPT,2.22679375,0.002242794,0.25899013,,,,960.9150325283133,-53.26490679674797
BCKDK,28.95869616,0.030516456,0.247504797,-6.860000000000001e-32,,,6332.102182237149,-43.079450504303495
KAT8,6.317448172,0.004585994,0.334774284,,,,-16673.061661889347,-64.39761878246559
NOMO1,3.402757257,0.004217032,0.046250596,,,0.0,1843.3453483175049,-48.43802891039829
IL21R,4.787542952,0.006375553,0.167399525,-0.009557894,,0.0,-30329.93794399409,-107.95175267621758
SYT17,30.06100495,0.026824152,0.26988589,,,,3591.9245174312487,-32.05727636023816
TMC5,1.829714026,0.001092985,0.0,,,,-2783.5771911420566,-43.35519282431447
CCP110,3.927816392,0.003340736,0.376675034,,,,-21685.37740618473,-80.23870605812249
C16orf62,6.704645435,0.004042246,0.451743687,,,,-11886.39047379653,-69.36876305924004
RNF40,6.73433637,0.005553875,0.051051587,-0.000118711,,,-3882.19503960112,-77.34939371521793
KNOP1,3.132988168,0.001962328,0.050753111,,,,-116463.74453603989,-129.89143234675106
AQP9,104.5806356,0.101338792,0.352305016,-0.001986541,,,7582.734479415544,-33.92014441906352
AAGAB,6.04233844,0.005496894,0.077764437,-6.67e-14,,,-13312.09008575981,-63.09637343494624
IQCH,0.688273813,0.000242492,0.0,,,,5652.180829742926,-28.286465600742385
LACTB,72.16703439,0.061418587,1.024209571,,,,-52018.63740701618,-103.56753477347611
CORO2B,6.786054764,0.012350263,0.074420111,,,0.0,0.0,0.0
CSK,65.33561053,0.069440321,1.299689176,,,,6891.373425718515,-46.37715682077467
HERC1,9.58034178,0.008983815,0.914865734,,,,-29623.419235683134,-77.79988029657042
TRIP4,2.097972376,0.001802646,0.138997256,-4.8e-09,,,-2113.3828970105246,-65.08958835660796
MTFMT,3.829795709,0.003846139,0.056570697,,,,-1473.3492151076443,-40.27565856039207
AP3B2,1.273611229,0.001065778,0.009456209,,,,-824.8474419316246,-32.34789972548114
ACSBG1,52.91455898,0.244412725,0.505163081,-1.58e-05,-0.005307705,0.0,7766.671057272029,-26.276225741707748
RAB11A,87.90010813,0.161296579,0.98123075,,-1.6e-86,0.0,10688.377134696622,-70.28752415538443
CTSH,203.7809239,0.207913005,0.963192489,,,,3434.129806955041,-41.15296581926892
TTC23,3.65061842,0.009602973,0.018906517,,,0.0,667.2999657438118,-19.087848904812795
CD276,0.425727724,0.000198253,0.0,,,,-11453.96376334927,-54.62826368168104
FAH,67.80271832,0.128541438,0.544907515,-2.69e-15,,0.0,-5193.50585582303,-42.98391590764436
CEMIP,0.481429209,0.000156456,0.0,-4.24e-17,,,-21701.540861976886,-80.86296197951927
RPAP1,3.505594804,0.002037062,0.037816552,-2.03e-19,,,-30161.654852761407,-70.48590674204247
HOMER2,27.884029,0.04998893,0.372970111,,,0.0,3319.1655838942856,-49.32192322140574
EHD4,16.72141114,0.017992104,0.536868356,,,,1275.243364884502,-61.55597882917046
