,testdata,fea,k,ari,f1,labled,acc
MATTE_300_10Xv2,10Xv2,MATTE,300,0.3517676284988559,0.943935507421751,0.6947926267281106,0.9476686343437023
NB_20_10Xv2,10Xv2,NB,20,0.031229950976962968,0.49934980494148246,0.017741935483870968,0.9974025974025974
NB_50_10Xv2,10Xv2,NB,50,0.04241474406580049,0.49844479004665626,0.029723502304147466,0.993798449612403
NB_80_10Xv2,10Xv2,NB,80,0.04222729200425493,0.4922279792746114,0.004516129032258065,0.9693877551020408
NB_100_10Xv2,10Xv2,NB,100,0.04165474622705518,0.6655791190864601,0.028525345622119815,0.9935379644588045
NB_150_10Xv2,10Xv2,NB,150,0.042080857912446125,0.6656641604010024,0.030921658986175115,0.9940387481371088
NB_200_10Xv2,10Xv2,NB,200,0.04184517158349941,0.6657730116175157,0.03705069124423963,0.9950248756218906
NB_250_10Xv2,10Xv2,NB,250,0.032108348763811495,0.6657765910102359,0.037142857142857144,0.9950372208436724
NB_300_10Xv2,10Xv2,NB,300,0.04235157236831703,0.49122807017543857,0.001336405529953917,0.9655172413793104
M3_20_10Xv2,10Xv2,M3,20,0.18897658454227914,0.595923099111283,0.18078341013824883,0.9304104002039255
M3_50_10Xv2,10Xv2,M3,50,0.022938774122224684,0.5219876428905875,0.20456221198156682,0.9378238341968912
M3_80_10Xv2,10Xv2,M3,80,0.022986868055340837,0.5239989599428033,0.21903225806451612,0.9324637071323375
M3_100_10Xv2,10Xv2,M3,100,0.02456062029594422,0.5271561500038275,0.23202764976958526,0.8983118172790466
M3_150_10Xv2,10Xv2,M3,150,0.060206262823152175,0.5596930651720239,0.21741935483870967,0.9162780839338703
M3_200_10Xv2,10Xv2,M3,200,0.06408902174709105,0.5529401983485345,0.22617511520737327,0.9160554197229014
M3_250_10Xv2,10Xv2,M3,250,0.06518344650816467,0.5448944189678847,0.23184331797235022,0.9107533293579805
M3_300_10Xv2,10Xv2,M3,300,0.15486125530566078,0.5389014764887925,0.23202764976958526,0.9070506454816286
HV_20_10Xv2,10Xv2,HV,20,0.004661124287533723,,0.0,
HV_50_10Xv2,10Xv2,HV,50,0.0023478384312510077,,0.0,
HV_80_10Xv2,10Xv2,HV,80,0.008523052535279487,,0.0,
HV_100_10Xv2,10Xv2,HV,100,-0.001955341836586915,,0.0,
HV_150_10Xv2,10Xv2,HV,150,0.005661436810156343,,0.0,
HV_200_10Xv2,10Xv2,HV,200,0.006017915202930876,,0.0,
HV_250_10Xv2,10Xv2,HV,250,0.017700191776375118,0.5519323671497585,0.004470046082949309,0.9690721649484536
HV_300_10Xv2,10Xv2,HV,300,-0.001992961727528848,,0.0,
zscore_20_10Xv2,10Xv2,zscore,20,0.18089319533228673,0.31196154900623846,0.08645161290322581,0.9136460554371002
zscore_50_10Xv2,10Xv2,zscore,50,0.17795571814829153,0.423524035876977,0.09926267281105991,0.9285051067780873
zscore_80_10Xv2,10Xv2,zscore,80,0.1806936394013525,0.4116125824053633,0.11585253456221198,0.9343675417661098
zscore_100_10Xv2,10Xv2,zscore,100,0.17456102787529332,0.4424697399231728,0.12700460829493088,0.9306966618287373
zscore_150_10Xv2,10Xv2,zscore,150,0.17634511406934228,0.45274259343622836,0.12792626728110598,0.9322766570605188
zscore_200_10Xv2,10Xv2,zscore,200,0.17907153680592347,0.45365209374305976,0.1362672811059908,0.9323638823131553
zscore_250_10Xv2,10Xv2,zscore,250,0.17993770233880813,0.45281209221101165,0.14023041474654377,0.9316464015773908
zscore_300_10Xv2,10Xv2,zscore,300,0.13522140598587715,0.4662619712553348,0.13391705069124424,0.9325533379215416
ENT_20_10Xv2,10Xv2,ENT,20,0.13235160210062796,0.35637794566017333,0.014884792626728111,0.8668730650154799
ENT_50_10Xv2,10Xv2,ENT,50,0.190567874201241,0.6753138798071984,0.15539170506912442,0.9240806642941874
ENT_80_10Xv2,10Xv2,ENT,80,0.23373719275923815,0.6214483139135693,0.23672811059907833,0.896437609499708
ENT_100_10Xv2,10Xv2,ENT,100,0.23369069319404062,0.6207280658701855,0.23815668202764978,0.8958978328173375
ENT_150_10Xv2,10Xv2,ENT,150,0.2335488551476599,0.6206857964291383,0.23995391705069125,0.8953332053005569
ENT_200_10Xv2,10Xv2,ENT,200,0.23432008230722753,0.6211615496045604,0.23972350230414746,0.8948481353325644
ENT_250_10Xv2,10Xv2,ENT,250,0.2335565705709574,0.6211340408065756,0.23820276497695853,0.8959179725285356
ENT_300_10Xv2,10Xv2,ENT,300,0.23379405803617828,0.6210278609933853,0.2366820276497696,0.8960280373831776
f_20_10Xv3,10Xv3,f,20,0.16653357984547926,0.6005231293225101,0.13850935005090287,0.9415860735009671
f_50_10Xv3,10Xv3,f,50,0.26822382156024166,0.6920158903825548,0.3238493275464823,0.9354731965585705
f_80_10Xv3,10Xv3,f,80,0.28142305081912744,0.7567390907930971,0.328939613138295,0.9275126242058968
f_100_10Xv3,10Xv3,f,100,0.27985015543361647,0.7884456220178725,0.3161871081819643,0.9281477715641416
f_150_10Xv3,10Xv3,f,150,0.29714598935741915,0.7656201122931529,0.3146868134812195,0.9221862761791249
f_200_10Xv3,10Xv3,f,200,0.2889373838555925,0.7752741908969513,0.31243637143010233,0.9260847196021266
f_250_10Xv3,10Xv3,f,250,0.11929705526360287,0.618733293654456,0.24288699565986177,0.898742554599603
f_300_10Xv3,10Xv3,f,300,0.11889546447903598,0.6308324411028994,0.24395863473182233,0.9011640676477048
chi2_20_10Xv3,10Xv3,chi2,20,0.18274851202787518,0.47769068019104804,0.11187911911268285,0.9406130268199234
